"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","end()","","Mon Nov 11 13:16:25 GMT 2024","passed","Mon Nov 11 13:16:25 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","end"
"","4","getAllKois()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getAllKois"
"","4","blockOrEnable()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","blockOrEnable"
"","4","createOrderDetail()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.OrderDetailControllerTest","com.swp391.koibe.controllers.OrderDetailControllerTest","createOrderDetail"
"","6","getKoisByBreederIdAndStatus()","","Mon Nov 11 13:16:24 GMT 2024","passed","Mon Nov 11 13:16:24 GMT 2024","","com.swp391.koibe.services.user.breeder.BreederServiceTest","com.swp391.koibe.services.user.breeder.BreederServiceTest","getKoisByBreederIdAndStatus"
"","4","sendBlockAccount()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.MailControllerTest","com.swp391.koibe.controllers.MailControllerTest","sendBlockAccount"
"","6","getOrdersByStatus()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","getOrdersByStatus"
"","3","hasJoinedAuction()","","Mon Nov 11 13:16:05 GMT 2024","passed","Mon Nov 11 13:16:05 GMT 2024","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","hasJoinedAuction"
"","6","getUserByEmail()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","getUserByEmail"
"","26","testUpdateRole_Success()","","Mon Nov 11 13:16:01 GMT 2024","passed","Mon Nov 11 13:16:01 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testUpdateRole_Success"
"","6","hasBid()","","Mon Nov 11 13:16:16 GMT 2024","passed","Mon Nov 11 13:16:16 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","hasBid"
"","3","testGetOrdersByStatus()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","testGetOrdersByStatus"
"","3","getUserById()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","getUserById"
"","3","getAuctionKoiByAuctionIdAndKoiId()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","getAuctionKoiByAuctionIdAndKoiId"
"","4","createKoiImage()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:15 GMT 2024","","com.swp391.koibe.services.koi.KoiServiceTest","com.swp391.koibe.services.koi.KoiServiceTest","createKoiImage"
"","75","testUpdateRole_NotFound()","","Mon Nov 11 13:16:00 GMT 2024","passed","Mon Nov 11 13:16:00 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testUpdateRole_NotFound"
"","2","createOrder()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","createOrder"
"","3","searchUserOrdersByKeyword()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.OrderControllerTest","com.swp391.koibe.controllers.OrderControllerTest","searchUserOrdersByKeyword"
"","3","bannedUser()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","bannedUser"
"","5","notifyUsersAboutUpcomingAuctions()","","Mon Nov 11 13:16:24 GMT 2024","passed","Mon Nov 11 13:16:24 GMT 2024","","com.swp391.koibe.services.auction.AuctionMailServiceTest","com.swp391.koibe.services.auction.AuctionMailServiceTest","notifyUsersAboutUpcomingAuctions"
"","3","getAllMembers()","","Mon Nov 11 13:16:22 GMT 2024","passed","Mon Nov 11 13:16:22 GMT 2024","","com.swp391.koibe.services.user.member.MemberServiceTest","com.swp391.koibe.services.user.member.MemberServiceTest","getAllMembers"
"","4","getOrdersByKeyword()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","getOrdersByKeyword"
"","4","getKoiImage()","","Mon Nov 11 13:16:05 GMT 2024","passed","Mon Nov 11 13:16:05 GMT 2024","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","com.swp391.koibe.services.koiimage.KoiImageServiceTest","getKoiImage"
"","3","getAllAuctions()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","getAllAuctions"
"","3","getAllStaffs()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","getAllStaffs"
"","4","updateUser()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","updateUser"
"","3","confirmDelivery()","","Mon Nov 11 13:15:58 GMT 2024","passed","Mon Nov 11 13:15:58 GMT 2024","","com.swp391.koibe.controllers.OrderControllerTest","com.swp391.koibe.controllers.OrderControllerTest","confirmDelivery"
"","8","getAllMembers()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.MemberControllerTest","com.swp391.koibe.controllers.MemberControllerTest","getAllMembers"
"","6","findAll()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","findAll"
"","26","testDeleteRole_Success()","","Mon Nov 11 13:16:01 GMT 2024","passed","Mon Nov 11 13:16:01 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testDeleteRole_Success"
"","6","sealed()","","Mon Nov 11 13:16:16 GMT 2024","passed","Mon Nov 11 13:16:16 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","sealed"
"","3","getPaymentByUserIdAndStatus()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.PaymentControllerTest","com.swp391.koibe.controllers.PaymentControllerTest","getPaymentByUserIdAndStatus"
"","4","getPaymentsByStatusAndKeyword()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.PaymentControllerTest","com.swp391.koibe.controllers.PaymentControllerTest","getPaymentsByStatusAndKeyword"
"","5","createNewStaff()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","createNewStaff"
"","9","update()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.category.CategoryServiceTest","com.swp391.koibe.services.category.CategoryServiceTest","update"
"","5","getCategoryById()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","getCategoryById"
"","3","setOtpExpired()","","Mon Nov 11 13:16:27 GMT 2024","passed","Mon Nov 11 13:16:27 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","setOtpExpired"
"","4","updateBidHistory()","","Mon Nov 11 13:16:16 GMT 2024","passed","Mon Nov 11 13:16:16 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","updateBidHistory"
"","3","getAuctionOnCondition()","","Mon Nov 11 13:16:25 GMT 2024","passed","Mon Nov 11 13:16:25 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionOnCondition"
"","3","convertToAuctionDTO()","","Mon Nov 11 13:16:29 GMT 2024","passed","Mon Nov 11 13:16:29 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToAuctionDTO"
"","6","verifyOtpToVerifyUser()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","verifyOtpToVerifyUser"
"","5","descending()","","Mon Nov 11 13:16:16 GMT 2024","passed","Mon Nov 11 13:16:16 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","descending"
"","15","getFeedbackById()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:15 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","getFeedbackById"
"","10","updateAuctionParticipant()","","Mon Nov 11 13:16:05 GMT 2024","passed","Mon Nov 11 13:16:05 GMT 2024","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","updateAuctionParticipant"
"","15","updatePaymentStatus()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.PaymentControllerTest","com.swp391.koibe.controllers.PaymentControllerTest","updatePaymentStatus"
"","7","existsByName()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:15 GMT 2024","","com.swp391.koibe.services.koi.KoiServiceTest","com.swp391.koibe.services.koi.KoiServiceTest","existsByName"
"","4","createAuctionKoi()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","createAuctionKoi"
"","4","isAuctionActive()","","Mon Nov 11 13:16:27 GMT 2024","passed","Mon Nov 11 13:16:27 GMT 2024","","com.swp391.koibe.utils.DateTimeUtilsTest","com.swp391.koibe.utils.DateTimeUtilsTest","isAuctionActive"
"","3","setTokenExpired()","","Mon Nov 11 13:16:05 GMT 2024","passed","Mon Nov 11 13:16:05 GMT 2024","","com.swp391.koibe.services.token.TokenServiceTest","com.swp391.koibe.services.token.TokenServiceTest","setTokenExpired"
"","5","getKoiImageByKoiId()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.KoiImageControllerTest","com.swp391.koibe.controllers.KoiImageControllerTest","getKoiImageByKoiId"
"","5","getKoiById()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:15 GMT 2024","","com.swp391.koibe.services.koi.KoiServiceTest","com.swp391.koibe.services.koi.KoiServiceTest","getKoiById"
"","3","getFeedbackByOrderId()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","getFeedbackByOrderId"
"","3","convertToAuctionKoiDTO()","","Mon Nov 11 13:16:29 GMT 2024","passed","Mon Nov 11 13:16:29 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToAuctionKoiDTO"
"","5","getAllKois()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:15 GMT 2024","","com.swp391.koibe.services.koi.KoiServiceTest","com.swp391.koibe.services.koi.KoiServiceTest","getAllKois"
"","4","createAuctionParticipant()","","Mon Nov 11 13:16:05 GMT 2024","passed","Mon Nov 11 13:16:05 GMT 2024","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","createAuctionParticipant"
"","3","updateAuctionKoi()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","updateAuctionKoi"
"","3","login()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","login"
"","3","deleteProduct()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","deleteProduct"
"","4","createOtp()","","Mon Nov 11 13:16:27 GMT 2024","passed","Mon Nov 11 13:16:27 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","createOtp"
"","3","forgotPassword()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.ForgotPasswordControllerTest","com.swp391.koibe.controllers.ForgotPasswordControllerTest","forgotPassword"
"","11","createDrawOutRequest()","","Mon Nov 11 13:16:11 GMT 2024","passed","Mon Nov 11 13:16:11 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","createDrawOutRequest"
"","7","testCreateRole()","","Mon Nov 11 13:16:11 GMT 2024","passed","Mon Nov 11 13:16:11 GMT 2024","","com.swp391.koibe.services.role.RoleServiceTest","com.swp391.koibe.services.role.RoleServiceTest","testCreateRole"
"","3","deposit()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","deposit"
"","3","getFeedbackById()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","getFeedbackById"
"","3","convertToUserDTO()","","Mon Nov 11 13:16:29 GMT 2024","passed","Mon Nov 11 13:16:29 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToUserDTO"
"","3","createMember()","","Mon Nov 11 13:16:22 GMT 2024","passed","Mon Nov 11 13:16:22 GMT 2024","","com.swp391.koibe.services.user.member.MemberServiceTest","com.swp391.koibe.services.user.member.MemberServiceTest","createMember"
"","5","getBidHistoryById()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:16 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidHistoryById"
"","4","updateKoiStatus()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","updateKoiStatus"
"","7","createDepositPayment()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.PaymentControllerTest","com.swp391.koibe.controllers.PaymentControllerTest","createDepositPayment"
"","3","getAllBreeders()","","Mon Nov 11 13:15:58 GMT 2024","passed","Mon Nov 11 13:15:58 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","getAllBreeders"
"","4","verifiedUser()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","verifiedUser"
"","4","handleVNPayReturn()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.PaymentControllerTest","com.swp391.koibe.controllers.PaymentControllerTest","handleVNPayReturn"
"","3","getAllFeedbacks()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","getAllFeedbacks"
"","4","convertToBidDTO()","","Mon Nov 11 13:16:29 GMT 2024","passed","Mon Nov 11 13:16:29 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToBidDTO"
"","3","update()","","Mon Nov 11 13:16:24 GMT 2024","passed","Mon Nov 11 13:16:24 GMT 2024","","com.swp391.koibe.services.user.staff.StaffServiceTest","com.swp391.koibe.services.user.staff.StaffServiceTest","update"
"","6","testCreateOrderDetail()","","Mon Nov 11 13:16:11 GMT 2024","passed","Mon Nov 11 13:16:11 GMT 2024","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","testCreateOrderDetail"
"","3","getAuctionByStatus()","","Mon Nov 11 13:16:25 GMT 2024","passed","Mon Nov 11 13:16:25 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionByStatus"
"","4","createKoi()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:15 GMT 2024","","com.swp391.koibe.services.koi.KoiServiceTest","com.swp391.koibe.services.koi.KoiServiceTest","createKoi"
"","6","getAuctionKoisByAuctionId()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","getAuctionKoisByAuctionId"
"","3","deleteMember()","","Mon Nov 11 13:16:22 GMT 2024","passed","Mon Nov 11 13:16:22 GMT 2024","","com.swp391.koibe.services.user.member.MemberServiceTest","com.swp391.koibe.services.user.member.MemberServiceTest","deleteMember"
"","3","getAllBidHistories()","","Mon Nov 11 13:16:16 GMT 2024","passed","Mon Nov 11 13:16:16 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getAllBidHistories"
"","3","login()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","login"
"","10","testGetAuctionByStatus()","","Mon Nov 11 13:16:25 GMT 2024","passed","Mon Nov 11 13:16:25 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","testGetAuctionByStatus"
"","16","testUpdateRole()","","Mon Nov 11 13:16:11 GMT 2024","passed","Mon Nov 11 13:16:11 GMT 2024","","com.swp391.koibe.services.role.RoleServiceTest","com.swp391.koibe.services.role.RoleServiceTest","testUpdateRole"
"","7","getPaymentByOrderID()","","Mon Nov 11 13:16:11 GMT 2024","passed","Mon Nov 11 13:16:11 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","getPaymentByOrderID"
"","3","blockOrEnable()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","blockOrEnable"
"","4","sendMail()","","Mon Nov 11 13:16:05 GMT 2024","passed","Mon Nov 11 13:16:05 GMT 2024","","com.swp391.koibe.services.mail.MailServiceTest","com.swp391.koibe.services.mail.MailServiceTest","sendMail"
"","4","updatePassword()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","updatePassword"
"","86","testGetRoleById_NotFound()","","Mon Nov 11 13:16:01 GMT 2024","passed","Mon Nov 11 13:16:01 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testGetRoleById_NotFound"
"","4","updateFeedback()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:15 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","updateFeedback"
"","4","deleteOrder()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","deleteOrder"
"","5","getAllCategories()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","getAllCategories"
"","4","deleteFeedback()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:15 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","deleteFeedback"
"","3","createFeedback()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","createFeedback"
"","4","sendAuctionClosedEmailToAllUser()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.AuctionMailControllerTest","com.swp391.koibe.controllers.AuctionMailControllerTest","sendAuctionClosedEmailToAllUser"
"","3","delete()","","Mon Nov 11 13:16:24 GMT 2024","passed","Mon Nov 11 13:16:24 GMT 2024","","com.swp391.koibe.services.user.staff.StaffServiceTest","com.swp391.koibe.services.user.staff.StaffServiceTest","delete"
"","4","getAllKoisByKeyword()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getAllKoisByKeyword"
"","12","getBidsByAuctionKoiId()","","Mon Nov 11 13:16:16 GMT 2024","passed","Mon Nov 11 13:16:16 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidsByAuctionKoiId"
"","4","fixedPrice()","","Mon Nov 11 13:16:16 GMT 2024","passed","Mon Nov 11 13:16:16 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","fixedPrice"
"","3","getAllAuctions()","","Mon Nov 11 13:15:57 GMT 2024","passed","Mon Nov 11 13:15:57 GMT 2024","","com.swp391.koibe.controllers.AuctionControllerTest","com.swp391.koibe.controllers.AuctionControllerTest","getAllAuctions"
"","3","sendForgotPassword()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.MailControllerTest","com.swp391.koibe.controllers.MailControllerTest","sendForgotPassword"
"","4","createFeedback()","","Mon Nov 11 13:16:15 GMT 2024","passed","Mon Nov 11 13:16:15 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","createFeedback"
"","3","createAuctionKoi()","","Mon Nov 11 13:16:27 GMT 2024","passed","Mon Nov 11 13:16:27 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","createAuctionKoi"
"","12","createDescendingAuction()","","Mon Nov 11 13:16:25 GMT 2024","passed","Mon Nov 11 13:16:25 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","createDescendingAuction"
"","3","getAllUsersJoinAuction()","","Mon Nov 11 13:15:58 GMT 2024","passed","Mon Nov 11 13:15:58 GMT 2024","","com.swp391.koibe.controllers.AuctionParticipantControllerTest","com.swp391.koibe.controllers.AuctionParticipantControllerTest","getAllUsersJoinAuction"
"","4","updateBreeder()","","Mon Nov 11 13:16:24 GMT 2024","passed","Mon Nov 11 13:16:24 GMT 2024","","com.swp391.koibe.services.user.breeder.BreederServiceTest","com.swp391.koibe.services.user.breeder.BreederServiceTest","updateBreeder"
"","4","getBidderHighestBid()","","Mon Nov 11 13:16:16 GMT 2024","passed","Mon Nov 11 13:16:16 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidderHighestBid"
"","3","getAuctionKoiResponeById()","","Mon Nov 11 13:16:27 GMT 2024","passed","Mon Nov 11 13:16:27 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiResponeById"
"","3","updateFeedback()","","Mon Nov 11 13:16:02 GMT 2024","passed","Mon Nov 11 13:16:02 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","updateFeedback"
"","21","getAllCategories()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.category.CategoryServiceTest","com.swp391.koibe.services.category.CategoryServiceTest","getAllCategories"
"","13","getKoisByBreederID()","","Mon Nov 11 13:16:24 GMT 2024","passed","Mon Nov 11 13:16:24 GMT 2024","","com.swp391.koibe.services.user.breeder.BreederServiceTest","com.swp391.koibe.services.user.breeder.BreederServiceTest","getKoisByBreederID"
"","4","getUserDetailsFromToken()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","getUserDetailsFromToken"
"","14","getById()","","Mon Nov 11 13:16:19 GMT 2024","passed","Mon Nov 11 13:16:19 GMT 2024","","com.swp391.koibe.services.category.CategoryServiceTest","com.swp391.koibe.services.category.CategoryServiceTest","getById"
